,D_1,D_2,D_3,D_4,D_5,D_6,Mahalanobis_D,Human_Score,Soma
Jogo_1,2,6,21,27,38,55,3.1462979587526445,21,149
Jogo_2,21,31,34,41,53,57,3.5655467256870614,10,237
Jogo_3,6,14,23,24,30,55,2.9149222662451195,23,152
Jogo_4,4,37,38,57,58,60,3.968764970171236,7,254
Jogo_5,2,3,5,21,40,45,4.1619296442234175,22,116
Jogo_6,5,18,23,30,52,54,2.451806329058632,15,182
Jogo_7,6,15,22,28,46,60,2.9888167841184687,15,177
Jogo_8,4,15,17,35,51,60,2.9246533093579288,13,182
Jogo_9,5,15,17,35,48,56,1.7196195071646454,13,176
Jogo_10,4,9,28,31,34,39,2.4808468017378877,17,145
Jogo_11,8,10,18,37,39,43,2.231475077927613,16,155
Jogo_12,1,32,44,46,48,49,3.55528442624594,4,220
Jogo_13,16,35,38,42,49,57,2.878544245834752,5,237
Jogo_14,19,30,32,37,42,43,3.585864567978695,12,203
Jogo_15,15,31,32,41,55,58,2.2854050543507496,10,232
Jogo_16,3,17,39,41,42,58,3.0966111807911356,14,200
Jogo_17,14,29,44,54,56,60,3.795705697202038,7,257
Jogo_18,7,24,41,46,55,57,1.9805990610972997,11,230
Jogo_19,32,36,38,39,49,59,3.423613587024185,3,253
Jogo_20,16,17,28,51,53,57,3.0745773203457247,12,222
Jogo_21,1,11,20,36,51,53,1.966328027086662,12,172
Jogo_22,33,35,36,43,44,49,4.931404081437005,5,240
Jogo_23,4,10,27,42,52,55,2.1572973082545244,17,190
Jogo_24,1,12,16,42,47,49,2.2663951948799848,14,167
Jogo_25,3,36,40,41,44,59,4.080483509661208,6,223
Jogo_26,10,19,22,26,43,57,2.3402064244999337,15,177
Jogo_27,12,19,20,24,49,57,2.6288182370407314,16,181
Jogo_28,5,10,16,46,51,58,2.558271964457286,12,186
Jogo_29,7,11,13,19,49,59,3.891478113420677,22,158
Jogo_30,2,15,22,41,45,51,1.711694256782263,12,176
Jogo_31,14,21,38,42,43,47,2.134117363014637,11,205
Jogo_32,19,26,34,45,47,52,2.3679940688220107,6,223
Jogo_33,12,20,41,54,58,59,2.759720862625378,8,244
Jogo_34,8,24,36,37,46,52,2.341171299201722,13,203
Jogo_35,4,12,25,31,36,60,2.6637213215766398,17,168
Jogo_36,25,29,31,33,34,37,4.386435946529516,14,189
Jogo_37,4,19,22,25,35,52,2.867934456846996,16,157
Jogo_38,3,6,13,26,37,54,2.294821127090908,23,139
Jogo_39,29,30,34,54,56,58,4.156214674388566,7,261
Jogo_40,3,13,23,26,39,50,2.0806541021973888,20,154
Jogo_41,7,12,14,49,51,56,3.5672963984009045,14,189
Jogo_42,2,9,10,20,27,29,3.441843444102945,30,97
Jogo_43,5,8,28,33,44,51,1.9627748535651688,16,169
Jogo_44,2,14,17,18,25,27,3.5192142107329003,27,103
Jogo_45,3,6,7,16,48,53,3.245193034327555,22,133
Jogo_46,14,30,34,40,52,59,2.8179905914204912,7,229
Jogo_47,1,13,16,48,50,52,3.0439405797097443,13,180
Jogo_48,2,3,18,25,40,53,2.5511690887819136,19,141
Jogo_49,11,12,19,28,54,57,2.4498462067601383,17,181
Jogo_50,10,11,39,43,48,56,2.314205226011847,7,207
