,D_01,D_02,D_03,D_04,D_05,D_06,D_07,D_08,D_09,D_10,D_11,D_12,D_13,D_14,D_15,Soma,Pares,Mahalanobis,Human_Score
Jogo_1,1,3,4,5,6,7,8,10,12,16,17,20,23,24,25,181,8,3.0172125784941786,83.0
Jogo_2,4,5,6,7,8,9,11,13,14,15,16,17,19,20,21,185,6,5.545436789172737,155.5
Jogo_3,4,7,9,12,13,14,16,17,19,20,21,22,23,24,25,246,7,4.343079810918043,166.0
Jogo_4,3,5,6,7,8,9,11,13,14,15,17,19,21,23,25,196,3,5.344396845198346,180.5
Jogo_5,1,2,3,4,5,6,7,8,9,11,13,16,17,21,22,145,6,4.8650347352525,163.5
Jogo_6,1,2,3,4,7,13,17,18,19,20,21,22,23,24,25,219,6,4.048932950206318,164.5
Jogo_7,1,2,3,6,8,11,12,13,14,15,17,18,19,21,22,182,7,4.046291533602564,211.5
Jogo_8,6,7,8,9,10,11,12,14,15,16,19,22,23,24,25,221,8,5.126336060541321,147.0
Jogo_9,1,4,6,8,9,10,11,12,13,14,16,17,18,20,22,181,10,4.7554482422260325,173.0
Jogo_10,1,3,4,5,6,7,8,9,11,12,13,15,21,23,24,162,5,4.1272579404736,201.5
Jogo_11,1,2,4,5,6,12,14,15,16,18,19,20,21,24,25,202,9,4.005488155798789,147.0
Jogo_12,1,6,7,9,11,12,13,14,15,16,17,18,22,23,25,209,6,4.450992360449554,150.5
Jogo_13,1,2,4,5,9,10,11,12,13,14,21,22,23,24,25,196,7,4.63660664360001,147.5
Jogo_14,3,5,6,8,9,10,13,15,17,18,19,20,21,22,24,210,7,4.205313527021085,85.0
Jogo_15,2,3,4,5,6,8,10,11,12,15,16,17,18,19,20,166,9,5.397893980913727,135.5
Jogo_16,1,2,4,5,6,7,9,10,11,12,13,14,16,17,24,151,8,3.8811338866324054,173.0
Jogo_17,1,2,3,4,5,6,7,13,14,16,17,18,19,23,24,172,7,4.663874284928464,90.5
Jogo_18,3,5,7,10,11,14,15,17,18,19,20,22,23,24,25,233,6,4.174037642378631,145.5
Jogo_19,5,8,9,10,11,13,14,15,19,20,21,22,23,24,25,239,6,5.299766001372126,157.0
Jogo_20,1,3,4,5,6,7,9,10,12,13,14,15,18,20,21,158,7,4.611734211568017,158.5
Jogo_21,1,2,4,6,8,12,13,16,18,20,21,22,23,24,25,215,10,4.583650096865859,171.0
Jogo_22,2,3,6,7,8,9,10,13,14,19,20,21,22,23,24,201,8,4.365818541017284,91.0
Jogo_23,1,2,4,7,9,10,14,16,17,18,19,20,21,22,23,203,8,3.8964099444968734,79.5
Jogo_24,4,5,6,7,9,10,11,13,15,16,17,18,19,21,23,194,5,4.468889365871083,108.5
Jogo_25,1,2,3,6,8,12,13,15,17,19,20,21,23,24,25,209,6,2.9928908041291216,137.5
Jogo_26,1,2,3,4,5,6,7,9,11,12,14,16,17,19,23,149,6,4.553646771465975,154.5
Jogo_27,5,6,7,9,10,12,14,15,16,17,18,19,20,22,25,215,8,4.2927871675284655,145.5
Jogo_28,2,6,7,12,13,15,16,17,18,19,20,21,23,24,25,238,7,4.2075265450729065,156.0
Jogo_29,1,2,5,10,11,12,13,14,15,16,18,19,20,22,23,201,8,3.682668296808227,141.0
Jogo_30,1,3,6,8,9,10,11,13,14,16,18,20,22,23,25,199,8,3.671419247646781,81.0
Jogo_31,2,4,5,6,7,8,9,10,11,12,13,15,19,20,24,165,8,3.864005704071138,156.5
Jogo_32,4,6,7,8,9,12,13,14,15,16,17,18,19,21,22,201,8,5.012621576901843,155.5
Jogo_33,1,2,3,4,5,8,9,10,11,13,14,17,21,22,23,163,6,4.070878888724688,143.5
Jogo_34,2,3,4,6,7,9,10,11,12,16,17,18,19,21,22,177,8,4.323704901857483,86.5
Jogo_35,1,2,3,4,6,8,10,12,14,17,18,20,21,22,24,182,11,4.823543652762079,99.5
Jogo_36,1,2,4,7,8,10,11,12,13,14,17,19,21,23,25,187,6,4.126838690934556,137.0
Jogo_37,1,2,3,4,5,7,10,12,14,16,17,18,20,22,25,176,9,4.73297704118903,88.0
Jogo_38,1,2,3,5,6,7,8,13,16,17,18,20,21,22,24,183,8,4.321159534066277,99.0
Jogo_39,1,3,6,7,8,9,11,12,14,15,17,19,21,24,25,192,5,4.450211161314678,181.5
Jogo_40,2,7,8,9,10,11,12,13,14,15,20,21,22,24,25,213,8,4.155205430543266,218.5
Jogo_41,2,3,5,6,7,8,9,10,11,13,14,16,18,20,22,164,9,4.070554891014949,135.0
Jogo_42,1,4,7,8,9,12,16,17,18,19,20,21,22,24,25,223,8,4.267374457502592,151.0
Jogo_43,1,2,3,5,6,9,10,15,16,17,20,21,22,24,25,196,7,4.641029393646427,87.0
Jogo_44,1,2,3,4,5,7,8,12,16,17,18,19,20,22,24,178,9,4.049305608969843,82.5
Jogo_45,1,2,3,4,5,6,7,8,10,11,12,15,17,23,25,149,6,4.038982163534045,167.5
Jogo_46,3,6,8,10,11,12,13,14,16,19,20,21,22,23,24,222,9,3.757055996276167,151.5
Jogo_47,1,5,7,11,14,15,16,17,19,20,21,22,23,24,25,240,5,4.391085971590484,192.5
Jogo_48,1,2,3,5,7,9,10,11,12,13,15,17,18,20,22,165,6,3.9608669771174716,154.5
Jogo_49,1,2,3,6,7,8,9,10,12,13,15,16,18,22,24,166,9,3.8222519463147546,145.5
Jogo_50,1,5,6,9,10,12,14,15,17,18,20,22,23,24,25,221,8,3.3091296416988887,129.0
