,D_01,D_02,D_03,D_04,D_05,D_06,D_07,D_08,D_09,D_10,D_11,D_12,D_13,D_14,D_15,Soma,Pares,Mahalanobis,Human_Score
Jogo_1,2,3,6,7,8,9,10,11,12,16,17,18,19,21,22,181,8,4.560997901789398,92.0
Jogo_2,1,2,3,4,5,6,7,9,13,14,16,18,20,23,24,165,8,3.647401799030847,138.5
Jogo_3,2,5,10,12,13,14,15,16,17,18,20,21,22,24,25,234,9,4.099016606792903,165.5
Jogo_4,3,4,6,7,9,11,14,15,16,20,21,22,23,24,25,220,7,3.770006112898415,140.0
Jogo_5,1,2,3,5,6,8,9,10,15,18,21,22,23,24,25,192,7,4.306725072338472,97.0
Jogo_6,4,6,9,11,12,13,15,16,17,18,19,21,22,24,25,232,7,4.172151386188652,163.0
Jogo_7,1,3,6,7,8,11,12,14,15,16,18,20,21,24,25,201,8,3.7139807508517246,134.5
Jogo_8,4,5,7,8,9,12,14,16,17,18,20,21,22,23,25,221,8,3.455189223690735,141.0
Jogo_9,1,2,6,8,9,11,12,13,15,17,18,21,22,24,25,204,7,3.6353173341254927,148.0
Jogo_10,1,2,6,7,8,9,10,11,13,14,15,17,19,20,24,176,7,3.758270668706173,147.5
Jogo_11,1,3,4,5,6,7,12,16,17,19,20,21,23,24,25,203,6,3.2823626537697685,91.0
Jogo_12,2,3,5,6,7,8,9,10,11,14,18,20,22,23,25,183,8,3.431549612882925,139.5
Jogo_13,3,4,7,8,10,11,12,14,15,17,18,19,21,22,24,205,8,3.1273003544958713,137.5
Jogo_14,1,2,3,4,10,11,12,13,14,16,17,19,22,23,25,192,7,3.7903640929394617,140.0
Jogo_15,2,5,10,12,13,14,16,17,18,19,20,21,23,24,25,239,8,3.794429122833229,152.5
Jogo_16,1,4,6,9,10,11,12,13,14,15,18,19,22,23,25,202,7,3.7541445039751786,189.5
Jogo_17,1,3,6,7,10,11,14,15,16,17,18,19,21,24,25,207,6,3.4777911829597046,134.0
Jogo_18,1,2,4,6,7,8,9,13,17,19,21,22,23,24,25,201,6,4.218805745035918,95.5
Jogo_19,1,2,3,4,5,6,9,11,14,18,20,21,22,23,25,184,7,3.248172911969105,78.5
Jogo_20,2,3,4,5,6,7,10,11,14,15,16,17,21,22,25,178,7,3.882297221273306,146.5
Jogo_21,1,2,4,7,8,9,11,14,16,17,18,20,22,24,25,198,9,3.612970053366013,76.0
Jogo_22,1,2,3,4,7,8,9,13,16,17,19,20,21,22,23,185,6,4.282760659438588,94.5
Jogo_23,1,4,5,6,7,9,10,11,14,15,16,19,20,22,23,182,7,4.161319916244679,141.0
Jogo_24,1,3,7,9,10,11,13,17,19,20,21,22,23,24,25,225,4,3.9903475610269155,163.0
Jogo_25,1,3,4,5,7,8,10,12,16,17,18,19,21,22,24,187,8,3.1206534044234626,79.5
Jogo_26,1,3,4,5,6,10,13,14,15,17,19,21,22,23,24,197,6,3.2377686171183537,79.0
Jogo_27,1,3,4,5,6,7,9,10,12,15,16,17,18,20,21,164,7,5.085026637723891,154.5
Jogo_28,2,4,7,8,10,11,12,14,15,17,18,19,22,23,24,206,9,3.8627045483243103,137.5
Jogo_29,3,5,6,7,8,12,15,17,18,19,20,21,22,23,24,220,7,3.7884696964311044,148.5
Jogo_30,1,3,4,5,8,10,13,14,16,17,18,19,23,24,25,200,7,3.3593100560561897,92.5
Jogo_31,2,4,5,8,9,12,13,14,15,17,18,19,21,23,25,205,6,3.123137013651985,139.5
Jogo_32,1,2,3,4,5,6,11,12,13,16,19,21,22,23,24,182,7,4.055310795736209,81.0
Jogo_33,2,3,5,6,8,9,11,13,14,17,18,20,21,22,24,193,8,3.054867652344885,60.0
Jogo_34,1,3,4,7,9,10,11,12,13,16,17,19,21,23,24,190,5,3.57938316922367,104.5
Jogo_35,2,3,5,6,7,9,10,13,14,17,18,19,22,23,24,192,7,4.44202510807971,86.0
Jogo_36,1,3,5,9,10,11,12,15,16,18,21,22,23,24,25,215,6,3.7407303836903454,139.0
Jogo_37,2,3,4,5,6,7,9,11,12,13,16,17,20,21,23,169,6,3.5672594180422807,141.0
Jogo_38,1,2,3,6,7,8,9,10,12,14,15,17,21,22,23,170,7,3.8982280192329966,146.5
Jogo_39,3,4,5,6,7,9,10,13,14,15,16,17,20,21,25,185,6,3.90235544658633,135.0
Jogo_40,1,5,6,8,11,13,14,15,16,18,19,20,22,24,25,217,8,3.025017272830115,148.5
Jogo_41,1,4,5,8,11,15,16,17,18,19,20,21,22,23,24,224,7,3.388071688745072,145.5
Jogo_42,1,2,4,5,6,7,9,10,12,13,14,20,21,22,23,169,8,3.695965210395415,144.0
Jogo_43,2,3,4,6,8,9,10,13,14,17,18,19,20,21,24,188,9,3.9802184101389866,87.0
Jogo_44,1,3,5,6,7,8,9,13,15,16,17,18,20,21,25,184,5,4.317128460229707,132.0
Jogo_45,1,2,3,4,7,8,9,12,13,16,18,20,21,22,24,180,9,3.7817734637438836,80.0
Jogo_46,3,4,5,7,9,13,15,16,17,18,21,22,23,24,25,222,5,4.042722485060623,166.5
Jogo_47,1,4,5,7,9,11,15,18,19,20,21,22,23,24,25,224,5,3.8690193561811204,168.5
Jogo_48,1,2,4,5,6,7,8,9,10,11,12,17,18,19,20,149,8,5.301219803239847,153.0
Jogo_49,1,3,4,5,7,8,9,10,11,12,13,15,20,21,24,163,6,3.7473302032561318,161.5
Jogo_50,3,5,7,9,15,16,17,18,19,20,21,22,23,24,25,244,5,4.752846162958553,180.5
