,D_1,D_2,D_3,D_4,D_5,D_6,Mahalanobis_D,Human_Score,Soma
Jogo_1,7,31,32,39,46,50,3.4763750247905616,10,205
Jogo_2,4,18,22,27,32,34,3.3461388186143397,16,137
Jogo_3,1,11,13,26,27,47,2.824471344066444,25,125
Jogo_4,39,40,42,43,46,49,5.1175702542817945,5,259
Jogo_5,14,16,48,51,55,56,3.4034676924928364,9,240
Jogo_6,3,5,6,7,11,25,5.726694011894874,37,57
Jogo_7,5,16,25,26,42,56,2.720409001945772,19,170
Jogo_8,5,27,33,34,37,38,4.065205160055893,14,174
Jogo_9,3,17,25,27,29,36,3.3389293533923503,24,137
Jogo_10,1,5,15,33,51,55,4.703693986037875,16,160
Jogo_11,31,37,43,54,59,60,4.435210377555107,6,284
Jogo_12,9,26,42,44,56,58,3.0668153413925805,9,235
Jogo_13,2,10,18,34,36,42,3.795919202623786,14,142
Jogo_14,7,11,19,31,43,45,4.170344122883058,19,156
Jogo_15,1,4,46,48,49,56,4.297666200823016,9,204
Jogo_16,7,28,34,39,45,57,2.8292857319843088,9,210
Jogo_17,17,26,28,46,51,58,2.8639197331342796,11,226
Jogo_18,11,12,14,18,29,38,3.647449280067762,22,122
Jogo_19,2,12,30,39,47,59,2.2197903015782785,12,189
Jogo_20,13,22,50,51,53,56,3.027643312173727,9,245
Jogo_21,4,8,9,10,20,48,4.111444291518158,27,99
Jogo_22,29,31,34,39,54,55,3.7406215453807268,10,242
Jogo_23,15,22,32,35,36,42,3.289029191854153,11,182
Jogo_24,5,11,35,44,48,57,1.9262868194790375,7,200
Jogo_25,18,23,41,42,43,58,3.480160122498794,10,225
Jogo_26,6,10,26,28,39,60,3.1833762915350494,17,169
Jogo_27,4,18,19,23,43,47,3.4700763257408873,16,154
Jogo_28,2,8,13,29,41,47,4.325940373661615,21,140
Jogo_29,9,21,27,30,35,56,3.5271527602731956,17,178
Jogo_30,4,6,7,9,26,52,3.8492911975072537,27,104
Jogo_31,21,33,39,40,48,49,4.453104155114045,10,230
Jogo_32,26,35,48,51,54,59,3.585014056834453,3,273
Jogo_33,8,33,35,38,40,58,3.3118001141669393,7,212
Jogo_34,8,13,21,23,24,55,4.875781039998886,29,144
Jogo_35,2,7,8,32,54,57,2.6789984045601054,16,160
Jogo_36,21,28,31,36,37,40,3.535102205490384,15,193
Jogo_37,13,14,26,27,28,52,4.62048648790584,20,160
Jogo_38,2,24,40,41,42,50,3.6008160169693118,12,199
Jogo_39,5,6,10,16,20,50,3.242455940444412,24,107
Jogo_40,22,23,29,33,48,53,2.8272210078704907,13,208
Jogo_41,22,23,47,56,57,60,3.9739740391948506,9,265
Jogo_42,1,12,15,28,31,35,3.097956698542838,22,122
Jogo_43,1,2,16,30,34,43,3.4736021921695386,17,126
Jogo_44,2,23,25,34,43,57,2.9192069320047698,11,184
Jogo_45,39,42,45,47,51,53,5.419906427908993,2,277
Jogo_46,10,12,18,24,32,42,3.410643079670292,20,138
Jogo_47,19,27,29,38,49,53,3.0695584477115974,10,215
Jogo_48,1,3,11,15,19,57,3.753590984892532,26,106
Jogo_49,3,19,21,35,50,52,2.6616235195276294,15,180
Jogo_50,9,44,46,52,53,60,3.0068099179929018,4,264
