,D_1,D_2,D_3,D_4,D_5,D_6,Mahalanobis_D,Human_Score,Soma
Jogo_1,5,17,18,23,24,29,5.011034533996331,27,116
Jogo_2,8,11,15,19,32,38,2.934611078998993,19,123
Jogo_3,26,34,37,40,49,55,3.6900994007278904,7,241
Jogo_4,6,10,19,30,35,59,2.3084413922557556,17,159
Jogo_5,5,6,10,25,36,55,2.3043329482474166,20,137
Jogo_6,11,21,39,41,47,48,2.306137982992771,10,207
Jogo_7,8,27,29,36,51,56,1.8003277733500485,13,207
Jogo_8,21,27,34,42,50,54,3.529602848152081,10,228
Jogo_9,2,10,13,17,19,30,4.508544857690295,31,91
Jogo_10,9,20,28,39,43,46,1.7238063222761029,11,185
Jogo_11,26,43,46,50,52,56,4.188472383582652,4,273
Jogo_12,1,9,20,28,47,48,2.6178669393153218,18,153
Jogo_13,9,15,20,23,29,41,3.4686746492179323,19,137
Jogo_14,4,7,24,34,39,48,1.9040343151763135,15,156
Jogo_15,6,12,16,21,48,59,2.0829537114016374,19,162
Jogo_16,3,4,26,46,52,60,2.9182369228324587,14,191
Jogo_17,7,23,27,33,41,49,3.171500866637207,16,180
Jogo_18,15,16,22,25,55,57,3.616921389448434,16,190
Jogo_19,1,7,20,31,32,54,3.0808309388467645,20,145
Jogo_20,9,24,42,51,57,59,2.776328467077196,9,242
Jogo_21,10,34,44,48,53,55,3.0690726929774237,6,244
Jogo_22,29,39,43,52,53,59,4.137037293353747,6,275
Jogo_23,5,32,37,44,53,55,2.9505052795772406,7,226
Jogo_24,3,10,17,21,33,40,2.5989292010598386,25,124
Jogo_25,18,20,29,32,46,49,3.2668431111017906,9,194
Jogo_26,2,10,16,19,39,47,2.627658090554751,17,133
Jogo_27,18,28,37,38,48,58,2.45299891293254,13,227
Jogo_28,12,22,30,31,36,47,2.0652118224616007,16,178
Jogo_29,13,19,47,50,53,54,3.905996106228304,9,236
Jogo_30,6,21,25,27,50,60,3.283631869587061,18,189
Jogo_31,13,18,32,40,46,48,2.9569974063386533,8,197
Jogo_32,4,5,15,23,37,42,2.4371853911067856,21,126
Jogo_33,4,18,23,37,45,57,2.610844951795988,13,184
Jogo_34,7,13,15,16,33,42,2.471077810226534,24,126
Jogo_35,14,23,25,26,37,52,2.1264126193606177,15,177
Jogo_36,1,2,7,19,42,44,2.616331893707621,22,115
Jogo_37,4,10,31,43,47,56,2.9209611807898668,12,191
Jogo_38,2,31,40,51,54,55,2.872087901241301,10,233
Jogo_39,2,25,28,34,45,53,2.519681148903574,11,187
Jogo_40,16,20,27,38,51,60,2.657125663536751,9,212
Jogo_41,15,18,44,47,52,55,2.3516046440742446,8,231
Jogo_42,21,23,26,37,40,50,2.646746001382835,14,197
Jogo_43,1,3,8,14,39,40,3.8611398328242097,23,105
Jogo_44,6,29,44,53,56,58,2.908872521762711,7,246
Jogo_45,19,24,33,35,50,58,2.18797321188595,8,219
Jogo_46,2,33,34,43,46,56,3.4447999829388336,8,214
Jogo_47,8,38,42,48,49,60,2.9469367439849927,9,245
Jogo_48,12,15,16,26,58,60,3.262427387598853,17,187
Jogo_49,9,28,32,35,36,55,2.866712988162645,10,195
Jogo_50,2,7,11,31,33,39,3.911324475625418,22,123
