,D_1,D_2,D_3,D_4,D_5,D_6,Mahalanobis_D,Human_Score,Soma
Jogo_1,4,10,14,22,38,47,3.09484226414671,17,135
Jogo_2,16,17,27,41,54,58,2.324389819624817,13,213
Jogo_3,24,26,31,47,53,55,3.461881576363117,11,236
Jogo_4,29,32,34,46,49,60,3.261196220001999,3,250
Jogo_5,1,2,3,7,25,52,3.8951612607943877,29,90
Jogo_6,10,18,24,30,48,53,2.7289545157961186,15,183
Jogo_7,6,38,40,46,56,58,3.350127315698594,4,244
Jogo_8,18,32,43,44,53,56,2.5958791893254007,5,246
Jogo_9,3,4,7,37,43,60,3.3129013520546,18,154
Jogo_10,20,25,34,41,42,45,3.4126386159374023,9,207
Jogo_11,1,13,16,17,34,49,3.514638984048076,20,130
Jogo_12,11,25,33,51,55,56,3.142097629809686,12,231
Jogo_13,12,15,17,35,37,41,3.3737177140849135,15,157
Jogo_14,26,30,33,52,57,59,3.0482437941380027,8,257
Jogo_15,2,8,21,34,43,49,4.114150262909119,16,157
Jogo_16,6,8,15,17,27,41,2.731943011913972,27,114
Jogo_17,38,40,41,42,48,60,4.457661671949723,5,269
Jogo_18,18,19,20,23,32,47,4.277483448414591,14,159
Jogo_19,3,6,19,40,52,59,2.0639285505670184,14,179
Jogo_20,6,9,22,25,35,45,3.5612895546231464,19,142
Jogo_21,27,33,40,47,53,57,3.540357318000932,6,257
Jogo_22,15,23,25,34,47,51,2.6321399262787013,10,195
Jogo_23,10,21,27,32,44,60,2.6188676802168334,13,194
Jogo_24,13,16,21,27,41,55,4.113101594019563,18,173
Jogo_25,15,34,39,41,42,45,4.267903215299607,6,216
Jogo_26,13,19,24,27,33,37,3.2951668128099234,19,153
Jogo_27,2,7,17,18,28,48,3.4044900118281634,28,120
Jogo_28,4,29,39,53,56,58,2.3424803673717904,8,239
Jogo_29,27,45,47,50,56,59,3.937604579079706,3,284
Jogo_30,2,7,9,23,29,35,3.435691336495638,26,105
Jogo_31,11,13,16,19,24,35,3.3797510025342774,21,118
Jogo_32,1,8,12,20,25,34,4.146297131602467,26,100
Jogo_33,3,17,20,28,30,50,3.0811824728209833,24,148
Jogo_34,1,6,7,9,23,54,3.384549895414014,27,100
Jogo_35,4,28,29,32,45,60,3.3848338756971272,12,198
Jogo_36,1,42,50,51,57,59,3.3383867600199735,6,260
Jogo_37,17,29,31,42,53,56,3.120727709799818,13,228
Jogo_38,20,22,36,46,50,54,3.8026628701069702,7,228
Jogo_39,2,5,14,42,43,57,3.0770858941727903,15,163
Jogo_40,18,23,24,27,29,32,4.267652619269334,16,153
Jogo_41,4,17,30,36,44,60,3.1565698904894712,13,191
Jogo_42,29,41,45,46,50,55,3.577767466094577,7,266
Jogo_43,5,15,21,29,32,51,2.557409774313795,17,153
Jogo_44,2,10,12,19,25,33,2.9442016386447536,26,101
Jogo_45,7,26,27,28,39,52,3.0695300564349313,19,179
Jogo_46,6,14,28,36,44,59,3.1786746221462803,11,187
Jogo_47,2,3,8,11,12,53,5.059507892347865,29,89
Jogo_48,5,40,43,44,46,60,3.235610148281613,4,238
Jogo_49,4,14,20,31,44,57,2.383549834949722,15,170
Jogo_50,3,10,16,20,25,45,2.4174287874298725,24,119
